Team,Matches,Wins,Losses,Win_Percentage
Afghanistan,3.0,1,2.0,33.33333333333333
Australia,27.0,13,14.0,48.148148148148145
Bangladesh,14.0,2,12.0,14.285714285714285
England,28.0,14,14.0,50.0
India,33.0,22,11.0,66.66666666666666
Kenya,5.0,0,5.0,0.0
Netherlands,2.0,0,2.0,0.0
New Zealand,27.0,14,13.0,51.85185185185185
Pakistan,25.0,11,14.0,44.0
South Africa,26.0,14,12.0,53.84615384615385
Sri Lanka,27.0,14,13.0,51.85185185185185
U.S.A.,2.0,0,2.0,0.0
West Indies,24.0,13,11.0,54.166666666666664
Zimbabwe,9.0,0,9.0,0.0
